Time,Date,Temp,Humidity,CO2,Air Quality,Nox,CO,Dust,Pressure,Altitude,Lat,Lon
11:11:04,18-12-2020,29,44,0.63,0.04,0.17,0.04,174.42,98108,285.99,21.245005,81.644005
11:11:25,18-12-2020,29,42,0.56,0.05,0.13,0.04,201.64,98105,285.99,21.245012,81.644012
11:11:46,18-12-2020,30,41,0.56,0.05,0.13,0.03,210.38,98103,286.16,21.245016,81.644028
11:12:07,18-12-2020,31,40,0.55,0.05,0.12,0.04,209.3,98107,285.99,21.245041,81.644012
11:12:28,18-12-2020,31,39,0.54,0.05,0.12,0.04,266.21,98100,286.16,21.245022,81.644043
11:12:52,18-12-2020,32,38,0.55,0.05,0.12,0.03,260.44,98112,285.64,21.245001,81.644028
11:13:16,18-12-2020,32,36,0.55,0.04,0.13,0.02,269.97,98119,284.71,21.245001,81.644028
11:13:41,18-12-2020,33,36,0.55,0.04,0.12,0.03,276.1,98122,284.11,21.245001,81.644012
11:14:06,18-12-2020,33,35,0.55,0.05,0.12,0.03,239.76,98119,284.62,21.245001,81.644005
11:14:30,18-12-2020,33,35,0.55,0.04,0.12,0.03,230.93,98123,284.45,21.245007,81.644005
11:14:55,18-12-2020,33,36,0.54,0.05,0.12,0.04,231.35,98127,284.28,21.245014,81.644012
11:15:19,18-12-2020,32,36,0.54,0.04,0.12,0.03,235.77,98123,284.62,21.245008,81.644028
11:15:44,18-12-2020,32,37,0.54,0.05,0.12,0.04,244.47,98127,284.28,21.244999,81.644035
11:16:09,18-12-2020,31,38,0.54,0.04,0.12,0.03,228.54,98123,284.02,21.245001,81.644043
11:16:33,18-12-2020,31,38,0.54,0.05,0.12,0.04,240,98131,283.76,21.245008,81.644043
11:16:58,18-12-2020,32,38,0.54,0.05,0.12,0.04,238.05,98121,284.36,21.245016,81.644043
11:17:22,18-12-2020,32,37,0.54,0.05,0.12,0.04,225.81,98125,284.28,21.245007,81.644028
11:17:47,18-12-2020,33,37,0.55,0.05,0.12,0.04,234.22,98119,284.53,21.244984,81.643982
